Date,Open,High,Low,Close,Adj Close,Volume
2022-02-26 00:00:00:00:00,39213.08203,39289.26172,39174.82422,39229.00391,39229.00391,46819328
2022-02-26 00:15:00:00:00,39223.27344,39331.79297,39201.10547,39312.19922,39312.19922,58699776
2022-02-26 00:30:00:00:00,39342.03516,40005.34766,39317.14453,40005.34766,40005.34766,795893760
2022-02-26 00:45:00:00:00,39917.32031,39917.32031,39746.14844,39761.125,39761.125,453017600
2022-02-26 01:00:00:00:00,39771.59766,39802.59766,39715.17188,39715.17188,39715.17188,34775040
2022-02-26 01:15:00:00:00,39719.34766,39776.29688,39704.36719,39759.87109,39759.87109,0
2022-02-26 01:30:00:00:00,39759.98828,39759.98828,39632.10938,39632.10938,39632.10938,0
2022-02-26 01:45:00:00:00,39629.91406,39699.35547,39629.91406,39694.875,39694.875,5912576
2022-02-26 02:00:00:00:00,39704.78906,39707.38672,39637.36328,39671.75391,39671.75391,0
2022-02-26 02:15:00:00:00,39679.32031,39716.55469,39676.21875,39676.21875,39676.21875,58503168
2022-02-26 02:30:00:00:00,39681.09375,39681.09375,39553.46094,39587.66016,39587.66016,0
2022-02-26 02:45:00:00:00,39594.35156,39635.84766,39580.14844,39580.14844,39580.14844,0
2022-02-26 03:00:00:00:00,39582.82031,39603.75,39530.64844,39530.64844,39530.64844,0
2022-02-26 03:15:00:00:00,39513.22266,39513.22266,39360.80859,39419.07031,39419.07031,430080
2022-02-26 03:30:00:00:00,39397.45703,39416.48438,39383.85156,39411.32031,39411.32031,0
2022-02-26 03:45:00:00:00,39412.60938,39449.32422,39412.60938,39418.76563,39418.76563,0
2022-02-26 04:00:00:00:00,39420.37891,39447.35938,39420.37891,39444.22266,39444.22266,0
2022-02-26 04:15:00:00:00,39438.67969,39438.67969,39340.58984,39408.17969,39408.17969,45502464
2022-02-26 04:30:00:00:00,39407.74219,39430.8125,39402.24609,39417.09766,39417.09766,3571712
2022-02-26 04:45:00:00:00,39422.24219,39455.42578,39404.51953,39405.44531,39405.44531,26691584
2022-02-26 05:00:00:00:00,39404.65234,39404.65234,39368.11328,39382.64453,39382.64453,0
2022-02-26 05:15:00:00:00,39380.16797,39391.74609,39240.60938,39240.60938,39240.60938,0
2022-02-26 05:30:00:00:00,39252.625,39268.59766,39192.85938,39192.85938,39192.85938,29095936
2022-02-26 05:45:00:00:00,39139.33984,39156.05859,39055.19531,39055.19531,39055.19531,66967552
2022-02-26 06:00:00:00:00,39059.24609,39138,39059.24609,39132.35547,39132.35547,30332928
